Species,Group,Granule_Size_mcm,Granule_Size_phi,Temperature,Mass,Depth,Mean_BRI,Reference,Notes
Muusoctopus leioderma,Octopus,220,,48,3-57,16,14.32243,,
Octopus kaurna,Octopus,500,,57,12-53,2,17.03979978,Montana,"""Found in 1-3 meters"" 12–53 g wet weight), soft sediment only"
Octopus kaurna,Octopus,750,,57,12-53,2,11.46612009,Montana,
Octopus kaurna,Octopus,1500,,57,12-53,2,5.078369906,Montana,
Abra alba,Bivalve,,1.5,49,,,0.39,,
Abra alba,Bivalve,,2,49,,,0.61,,
Abra alba,Bivalve,,2.5,49,,,0.65,,
Abra alba,Bivalve,,3,49,,,0.84,,
Abra alba,Bivalve,,3.5,49,,,0.883,,
Abra alba,Bivalve,,4,49,,,0.74,,
Abra alba,Bivalve,,4.5,49,,,1.72,,
Astarte sulcata,Bivalve,,-1,49,,,0.007,,
Astarte sulcata,Bivalve,,-0.5,49,,,0.012,,
Astarte sulcata,Bivalve,,0,49,,,0.014,,
Astarte sulcata,Bivalve,,0.5,49,,,0.016,,
Astarte sulcata,Bivalve,,1,49,,,0.021,,
Astarte sulcata,Bivalve,,1.5,49,,,0.022,,
Astarte sulcata,Bivalve,,2,49,,,0.024,,
Astarte sulcata,Bivalve,,2.5,49,,,0.037,,
Astarte sulcata,Bivalve,,3,49,,,0.035,,
Astarte sulcata,Bivalve,,3.5,49,,,0.02,,
Astarte sulcata,Bivalve,,4,49,,,0.024,,
Astarte sulcata,Bivalve,,4.5,49,,,0.001,,
Cardium edule,Bivalve,,-1,70,,,0.01,,
Cardium edule,Bivalve,,-0.5,70,,,0.02,,
Cardium edule,Bivalve,,0,70,,,0.05,,
Cardium edule,Bivalve,,0.5,70,,,0.09,,
Cardium edule,Bivalve,,1,70,,,0.08,,
Cardium edule,Bivalve,,1.5,70,,,0.19,,
Cardium edule,Bivalve,,2,70,,,0.22,,
Cardium edule,Bivalve,,2.5,70,,,0.27,,
Cardium edule,Bivalve,,3,70,,,0.42,,
Cardium edule,Bivalve,,3.5,70,,,0.16,,
Cardium edule,Bivalve,,4,70,,,0.2,,
Cardium edule,Bivalve,,4.5,70,,,0.06,,
Clinocardium nuttalli,Bivalve,,0,61,,,0.14,,
Clinocardium nuttalli,Bivalve,,0.5,61,,,0.46,,
Clinocardium nuttalli,Bivalve,,1,61,,,0.43,,
Clinocardium nuttalli,Bivalve,,1.5,61,,,1.37,,
Clinocardium nuttalli,Bivalve,,2,61,,,0.92,,
Clinocardium nuttalli,Bivalve,,2.5,61,,,1.16,,
Clinocardium nuttalli,Bivalve,,3,61,,,1.23,,
Clinocardium nuttalli,Bivalve,,3.5,61,,,1.02,,
Clinocardium nuttalli,Bivalve,,4,61,,,0.56,,
Clinocardium nuttalli,Bivalve,,4.5,61,,,0.3,,
Cultellus pellucidus,Bivalve,,1.5,49,,,1.5,,
Cultellus pellucidus,Bivalve,,2,49,,,1.2,,
Cultellus pellucidus,Bivalve,,2.5,49,,,1.23,,
Cultellus pellucidus,Bivalve,,3,49,,,2.75,,
Cultellus pellucidus,Bivalve,,3.5,49,,,1.93,,
Cultellus pellucidus,Bivalve,,4,49,,,1.78,,
Cultellus pellucidus,Bivalve,,4.5,49,,,2.08,,
Donax variabilis,Bivalve,,-1,70,,,3,,
Donax variabilis,Bivalve,,-0.5,70,,,4.2,,
Donax variabilis,Bivalve,,0,70,,,4.54,,
Donax variabilis,Bivalve,,0.5,70,,,6.9,,
Donax variabilis,Bivalve,,1,70,,,6.93,,
Donax variabilis,Bivalve,,1.5,70,,,9.02,,
Donax variabilis,Bivalve,,2,70,,,8.79,,
Donax variabilis,Bivalve,,2.5,70,,,10.22,,
Donax variabilis,Bivalve,,3,70,,,6.9,,
Donax variabilis,Bivalve,,3.5,70,,,2.19,,
Donax vittatus,Bivalve,,-0.5,49,,,0.82,,
Donax vittatus,Bivalve,,0,49,,,1.24,,
Donax vittatus,Bivalve,,0.5,49,,,1.59,,
Donax vittatus,Bivalve,,1,49,,,1.1,,
Donax vittatus,Bivalve,,1.5,49,,,1.57,,
Donax vittatus,Bivalve,,2,49,,,1.87,,
Donax vittatus,Bivalve,,2.5,49,,,1.9,,
Donax vittatus,Bivalve,,3,49,,,1.9,,
Donax vittatus,Bivalve,,3.5,49,,,0.5,,
Donax vittatus,Bivalve,,4,49,,,0.55,,
Ensis directus,Bivalve,,-1,70,,,0.8,,
Ensis directus,Bivalve,,-0.5,70,,,3.1,,
Ensis directus,Bivalve,,0,70,,,2.82,,
Ensis directus,Bivalve,,0.5,70,,,3.8,,
Ensis directus,Bivalve,,1,70,,,5.43,,
Ensis directus,Bivalve,,1.5,70,,,4.1,,
Ensis directus,Bivalve,,2,70,,,5.33,,
Ensis directus,Bivalve,,2.5,70,,,3.07,,
Ensis directus,Bivalve,,3,70,,,5.18,,
Ensis directus,Bivalve,,3.5,70,,,2.74,,
Macoma nasuta,Bivalve,,-1,61,,,0.08,,
Macoma nasuta,Bivalve,,-0.5,61,,,0.23,,
Macoma nasuta,Bivalve,,0,61,,,0.36,,
Macoma nasuta,Bivalve,,0.5,61,,,0.57,,
Macoma nasuta,Bivalve,,1,61,,,0.6,,
Macoma nasuta,Bivalve,,1.5,61,,,1.01,,
Macoma nasuta,Bivalve,,2,61,,,1.58,,
Macoma nasuta,Bivalve,,2.5,61,,,1.25,,
